,Country,Confirmed,Deaths,Recovered,Active
0,Afghanistan,89861,3527,61410.0,24924.0
1,Albania,132459,2453,129842.0,164.0
2,Algeria,133388,3571,92852.0,36965.0
3,Andorra,13813,127,13591.0,95.0
4,Angola,36705,831,30282.0,5592.0
5,Antigua and Barbuda,1263,42,1214.0,7.0
6,Argentina,4124190,85343,3721350.0,317497.0
7,Armenia,223682,4484,215195.0,4003.0
8,Australia,124,3,121.0,0.0
9,Australia,5619,54,0.0,5565.0
10,Australia,175,0,172.0,3.0
11,Australia,1652,7,1603.0,42.0
12,Australia,775,4,768.0,3.0
13,Australia,234,13,221.0,0.0
14,Australia,20665,820,19782.0,63.0
15,Australia,1018,9,1009.0,0.0
16,Austria,648620,10661,633939.0,4020.0
17,Azerbaijan,335171,4953,328580.0,1638.0
18,Bahamas,12092,236,11081.0,775.0
19,Bahrain,258731,1221,244579.0,12931.0
20,Bangladesh,826922,13118,766266.0,47538.0
21,Barbados,4036,47,3971.0,18.0
22,Belarus,405663,2978,398742.0,3943.0
23,Belgium,140155,0,0.0,140155.0
24,Belgium,132336,0,0.0,132336.0
25,Belgium,123303,0,0.0,123303.0
26,Belgium,81898,0,0.0,81898.0
27,Belgium,158722,0,0.0,158722.0
28,Belgium,129833,0,0.0,129833.0
29,Belgium,60700,0,0.0,60700.0
30,Belgium,31148,0,0.0,31148.0
31,Belgium,59087,0,0.0,59087.0
32,Belgium,20662,25088,0.0,-4426.0
33,Belgium,41389,0,0.0,41389.0
34,Belgium,97105,0,0.0,97105.0
35,Belize,12938,325,12463.0,150.0
36,Benin,8109,102,7979.0,28.0
37,Bhutan,1813,1,1467.0,345.0
38,Bolivia,406954,15542,321665.0,69747.0
39,Bosnia and Herzegovina,204597,9479,177122.0,17996.0
40,Botswana,59480,896,55617.0,2967.0
41,Brazil,84174,1712,78886.0,3576.0
42,Brazil,203226,5002,193222.0,5002.0
43,Brazil,113940,1762,89782.0,22396.0
44,Brazil,393492,13140,337529.0,42823.0
45,Brazil,1064747,22513,1028604.0,13630.0
46,Brazil,841280,21379,588565.0,231336.0
47,Brazil,417279,8955,398721.0,9603.0
48,Brazil,498495,11143,471639.0,15713.0
49,Brazil,638281,17953,608666.0,11662.0
50,Brazil,301238,8544,263493.0,29201.0
51,Brazil,425486,11223,401968.0,12295.0
52,Brazil,313530,7477,286440.0,19613.0
53,Brazil,1683100,43124,1545235.0,94741.0
54,Brazil,533944,14959,498695.0,20290.0
55,Brazil,358860,8128,236555.0,114177.0
56,Brazil,1149679,28135,804907.0,316637.0
57,Brazil,519577,16828,432119.0,70630.0
58,Brazil,284782,6222,277980.0,580.0
59,Brazil,282824,6452,150649.0,125723.0
60,Brazil,1148734,29672,1098059.0,21003.0
61,Brazil,905821,52998,842522.0,10301.0
62,Brazil,238112,5916,224353.0,7843.0
63,Brazil,107570,1679,101156.0,4735.0
64,Brazil,1006090,15964,966868.0,23258.0
65,Brazil,3458849,118121,3075383.0,265345.0
66,Brazil,251851,5381,230141.0,16329.0
67,Brazil,187805,3019,168032.0,16754.0
68,Brunei,248,3,239.0,6.0
69,Bulgaria,420336,17900,389495.0,12941.0
70,Burkina Faso,13459,167,13272.0,20.0
71,Burma,145603,3244,132928.0,9431.0
72,Burundi,5013,8,773.0,4232.0
73,Cabo Verde,31571,273,30316.0,982.0
74,Cambodia,38427,335,31858.0,6234.0
75,Cameroon,80090,1310,35261.0,43519.0
76,Canada,230463,2270,225013.0,3180.0
77,Canada,146176,1730,142526.0,1920.0
78,Canada,0,1,0.0,
79,Canada,13,0,13.0,0.0
80,Canada,54357,1100,49952.0,3305.0
81,Canada,2298,45,2155.0,98.0
82,Canada,1375,7,1329.0,39.0
83,Canada,128,0,128.0,0.0
84,Canada,5742,89,5513.0,140.0
85,Canada,657,4,644.0,9.0
86,Canada,547034,8920,532339.0,5775.0
87,Canada,206,0,202.0,4.0
88,Canada,372989,11172,359981.0,1836.0
89,Canada,13,0,13.0,0.0
90,Canada,47941,555,46577.0,809.0
91,Canada,104,2,84.0,18.0
92,Central African Republic,7101,98,6859.0,144.0
93,Chad,4942,174,4767.0,1.0
94,Chile,55347,1079,53221.0,1047.0
95,Chile,87763,1136,84325.0,2302.0
96,Chile,23834,462,22739.0,633.0
97,Chile,22913,257,21899.0,757.0
98,Chile,6888,47,6397.0,444.0
99,Chile,137192,2200,131480.0,3512.0
100,Chile,41278,748,38872.0,1658.0
101,Chile,81392,1113,78530.0,1749.0
102,Chile,42131,487,39959.0,1685.0
103,Chile,28350,427,27648.0,275.0
104,Chile,90541,1429,86051.0,3061.0
105,Chile,620026,16098,582471.0,21457.0
106,Chile,32277,536,30732.0,1009.0
107,Chile,61876,1243,58280.0,2353.0
108,Chile,37884,702,36623.0,559.0
109,Chile,52,0,52.0,0.0
110,Chile,106729,2743,99908.0,4078.0
111,China,1004,6,998.0,0.0
112,China,1070,9,1048.0,13.0
113,China,598,6,589.0,3.0
114,China,637,1,599.0,37.0
115,China,194,2,192.0,0.0
116,China,2625,8,2423.0,194.0
117,China,275,2,270.0,3.0
118,China,147,2,145.0,0.0
119,China,188,6,181.0,1.0
120,China,1317,7,1310.0,0.0
